HIT,1,10010101010110010110010110011000,10101010101010101010101010101011,1,1
HIT,2,01010101010101010101010101010100,01101010011010101001101010101011,1,1
HIT,3,01010101010101010101010101010100,10100110101001101010100110011011,1,1
HIT,4,01010101010101010110010101011000,10101010101010101010101010101011,1,1
HIT,5,10100110011001100110011010011000,01010101010101010101010101010111,1,1
HIT,6,10100110011010101010101001100100,01010101010101010101010101010111,1,1
HIT,7,10011010011010100110100110101000,01010101010101010101010101010111,1,1
HIT,8,01010101010101010101010101010100,10011010011001100110101001100111,1,1
HIT,9,01010101010101010101010101010100,10101001101001100110011010101011,1,1
HIT,10,01010101010101010101010101010100,10100110101001101010101001100111,1,1
HIT,11,10011010011001101010100110100100,01010101010101010101010101010111,1,1
HIT,12,10101010101010101010101010101000,01100101010110010101011001011011,1,1
HIT,13,10010101010110010101010110011000,10101010101010101010101010101011,1,1
HIT,14,10101010101010101010101010101000,10010110011001100101010110011011,1,1
HIT,15,10010110010101100101010101010100,10101010101010101010101010101011,1,1
HIT,16,01010101010101010101010101010100,01100110101001101010011001101011,1,1
HIT,17,10011010101010100110100110011000,01010101010101010101010101010111,1,1
HIT,18,10011010011010101010100110011000,01010101010101010101010101010111,1,1
HIT,19,10100110011010101010101010011000,01010101010101010101010101010111,1,1
HIT,20,10010110010110011001100110011000,10101010101010101010101010101011,1,1
HIT,21,10011001100101100101100101010100,10101010101010101010101010101011,1,1
HIT,22,10100110101001101010101001100100,01010101010101010101010101010111,1,1
HIT,23,01010101010101010101010101010100,01101001101010011010011001101011,1,1
HIT,24,10011001011001100110010101010100,10101010101010101010101010101011,1,1
HIT,25,01010101010101010101010101010100,01100110101010101001101010101011,1,1
HIT,26,10010110010110010101010110011000,10101010101010101010101010101011,1,1
HIT,27,01010101010101010101010101010100,01101010011001101010101010011011,1,1
HIT,28,01010101010101010101010101010100,01100110100110011010101010101011,1,1
HIT,29,10011010101010101010011010011000,01010101010101010101010101010111,1,1
HIT,30,10101010100110101010100110101000,01010101010101010101010101010111,1,1
HIT,31,10101010101010101010101010101000,01100110010101010110011001011011,1,1
HIT,32,10101010101010101010101010101000,01010110011001100110011001010111,1,1
HIT,33,01100101010101011001010101100100,10101010101010101010101010101011,1,1
HIT,34,01010101010101010101010101010100,01101001101010101010101001100111,1,1
HIT,35,10011001011001010101100101100100,10101010101010101010101010101011,1,1
HIT,36,01010101010101010101010101010100,10100110011010101010101010011011,1,1
HIT,37,10010101011001100101010101011000,10101010101010101010101010101011,1,1
HIT,38,01100110101010011010101001100100,01010101010101010101010101010111,1,1
HIT,39,10011010100110100110011010011000,01010101010101010101010101010111,1,1
HIT,40,10010110010101100101100101011000,10101010101010101010101010101011,1,1
HIT,41,01100110010110010110010110010100,10101010101010101010101010101011,1,1
HIT,42,01101010011010101001100110011000,01010101010101010101010101010111,1,1
HIT,43,10101010101010101010101010101000,10010110010101010101011001100111,1,1
HIT,44,10101010101010011001101010101000,01010101010101010101010101010111,1,1
HIT,45,10101010101010101010101010101000,01010101100101100101100110011011,1,1
HIT,46,10101010101010101010101010101000,01011001100110010110010101010111,1,1
HIT,47,01100110010110010110011001100100,10101010101010101010101010101011,1,1
HIT,48,10010110010101010101100101011000,10101010101010101010101010101011,1,1
HIT,49,01010101010101010101010101010100,01101001101010100110011010011011,1,1
HIT,50,10101010101001101010011010011000,01010101010101010101010101010111,1,1
HIT,51,01010101010101010101010101010100,10011001100110101001100110011011,1,1
HIT,52,01100101010110011001010110010100,10101010101010101010101010101011,1,1
HIT,53,01100110100110101001101001100100,01010101010101010101010101010111,1,1
HIT,54,10100110011010011001101001100100,01010101010101010101010101010111,1,1
HIT,55,01100110101001101010100110100100,01010101010101010101010101010111,1,1
HIT,56,01100101011001010110010101011000,10101010101010101010101010101011,1,1
HIT,57,10101010101010101010101010101000,01010101100110010101010101010111,1,1
HIT,58,10101010101010101010101010101000,10010110011001010101011001010111,1,1
HIT,59,10101010101010101010101010101000,01010101100101010101010110011011,1,1
HIT,60,10011001100110101010101010101000,01010101010101010101010101010111,1,1
HIT,61,01100101100101010101100101011000,10101010101010100110101010100111,2,2
HIT,62,01011001011001011001010101100100,10011010011010101010100110101011,2,2
HIT,63,01101010011010101010100110101000,01010101100101010101010101010111,2,2
HIT,64,01010101100101011001010101011000,01101010101001101001101001101011,2,2
HIT,65,10010110010101010110010101010100,10011010101010101001101001101011,2,2
HIT,66,01011001010101010101011001011000,10101010101001101010011010101011,2,2
HIT,67,01101001101010101001101010101000,01100101100101010101010101010111,2,2
HIT,68,01010101010101010101010101010100,10011010010110101001101001101011,2,2
HIT,69,10010101010101100101011001011000,01101010101001101001101001101011,2,2
HIT,70,10100110100110101010011010011000,01011001010101010101010110010111,2,2
HIT,71,01101010101010101010011010100100,10010110010110010110010101010111,2,2
HIT,72,10101010101010101010101010101000,01011001101001010110100110011011,2,2
HIT,73,10101010100110101001101010101000,01100101010110010101011001010111,2,2
HIT,74,10011010101010101001101001101000,10010101100101100101011001011011,2,2
HIT,75,01010101010101010101010101100100,10011010011010100110101010100111,2,2
HIT,76,01011001010110010101010101011000,10011010100110101010101010101011,2,2
HIT,77,10100110100110101001101010101000,01100101011001010110010110010111,2,2
